title,genre,director,country,year,wiki_url
7 главных желаний,комедия; мелодрама,Вадим Соколовский,Россия,2013,https://ru.wikipedia.org/wiki/7_%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D1%8B%D1%85_%D0%B6%D0%B5%D0%BB%D0%B0%D0%BD%D0%B8%D0%B9
6-й день,фантастика; триллер,Роджер Споттисвуд,США,2000,https://ru.wikipedia.org/wiki/6-%D0%B9_%D0%B4%D0%B5%D0%BD%D1%8C
6 дней,боевик; триллер,Тоа Фрейзер,Великобритания; Новая Зеландия,2017,https://ru.wikipedia.org/wiki/6_%D0%B4%D0%BD%D0%B5%D0%B9
5×2,мелодрама; драма,Франсуа Озон,Франция,2004,https://ru.wikipedia.org/wiki/5%C3%972
"5 сантиметров в секунду (фильм, 2025)",,Ёсиюки Окуяма; [вд],Япония,2025,"https://ru.wikipedia.org/wiki/5_%D1%81%D0%B0%D0%BD%D1%82%D0%B8%D0%BC%D0%B5%D1%82%D1%80%D0%BE%D0%B2_%D0%B2_%D1%81%D0%B5%D0%BA%D1%83%D0%BD%D0%B4%D1%83_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2025)"
5-я волна,постапокалиптика; научная фантастика,Дж. Блэйксон,США,2016,https://ru.wikipedia.org/wiki/5-%D1%8F_%D0%B2%D0%BE%D0%BB%D0%BD%D0%B0
5 терапия,драма; триллер; биография,Алиса Павловская,Украина,2017,https://ru.wikipedia.org/wiki/5_%D1%82%D0%B5%D1%80%D0%B0%D0%BF%D0%B8%D1%8F
5 причин не влюбиться в казаха,комедия,Аскар Узабаев,Казахстан,2017,https://ru.wikipedia.org/wiki/5_%D0%BF%D1%80%D0%B8%D1%87%D0%B8%D0%BD_%D0%BD%D0%B5_%D0%B2%D0%BB%D1%8E%D0%B1%D0%B8%D1%82%D1%8C%D1%81%D1%8F_%D0%B2_%D0%BA%D0%B0%D0%B7%D0%B0%D1%85%D0%B0
5 неизвестных,триллер,Симон Бранд,США,2006,https://ru.wikipedia.org/wiki/5_%D0%BD%D0%B5%D0%B8%D0%B7%D0%B2%D0%B5%D1%81%D1%82%D0%BD%D1%8B%D1%85
5 разбитых камер,документальный фильм,"Эмад Бурнат, Гай Давиди",Израиль; ПНА; Франция; Нидерланды,2011,https://ru.wikipedia.org/wiki/5_%D1%80%D0%B0%D0%B7%D0%B1%D0%B8%D1%82%D1%8B%D1%85_%D0%BA%D0%B0%D0%BC%D0%B5%D1%80
4.3.2.1,триллер; электро-хаус; соул; R’n’B; хип-хоп; грайм,Ноэль Кларк,Великобритания,2010,https://ru.wikipedia.org/wiki/4.3.2.1
5 дней в августе,военный; боевик,Ренни Харлин,США; Грузия,2011,https://ru.wikipedia.org/wiki/5_%D0%B4%D0%BD%D0%B5%D0%B9_%D0%B2_%D0%B0%D0%B2%D0%B3%D1%83%D1%81%D1%82%D0%B5
5 недель (фильм),трагикомедия,Александр Андреев,Россия,2021,https://ru.wikipedia.org/wiki/5_%D0%BD%D0%B5%D0%B4%D0%B5%D0%BB%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
"4 месяца, 3 недели и 2 дня",драма,Кристиан Мунджиу,Румыния,2007,"https://ru.wikipedia.org/wiki/4_%D0%BC%D0%B5%D1%81%D1%8F%D1%86%D0%B0,_3_%D0%BD%D0%B5%D0%B4%D0%B5%D0%BB%D0%B8_%D0%B8_2_%D0%B4%D0%BD%D1%8F"
4 x 4 (фильм),"драма, комедия","Рольф Клеменс, Палле Кьерулф-Шмидт, Мауну Куркваара",Финляндия; Норвегия; Швеция; Дания,1965,https://ru.wikipedia.org/wiki/4_x_4_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
4 маленькие девочки,Исторический документальный,Спайк Ли,США,1997,https://ru.wikipedia.org/wiki/4_%D0%BC%D0%B0%D0%BB%D0%B5%D0%BD%D1%8C%D0%BA%D0%B8%D0%B5_%D0%B4%D0%B5%D0%B2%D0%BE%D1%87%D0%BA%D0%B8
4 листа фанеры,детектив,Иван Гаврилюк; Сайдо Курбанов,Украина,1992,https://ru.wikipedia.org/wiki/4_%D0%BB%D0%B8%D1%81%D1%82%D0%B0_%D1%84%D0%B0%D0%BD%D0%B5%D1%80%D1%8B
4 дня в мае,военная; драма; боевик,Ахим фон Боррис,Германия; Украина; Россия,2011,https://ru.wikipedia.org/wiki/4_%D0%B4%D0%BD%D1%8F_%D0%B2_%D0%BC%D0%B0%D0%B5
4 американских композитора,документальный; музыкальный,Питер Гринуэй,Великобритания,1983,https://ru.wikipedia.org/wiki/4_%D0%B0%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D1%85_%D0%BA%D0%BE%D0%BC%D0%BF%D0%BE%D0%B7%D0%B8%D1%82%D0%BE%D1%80%D0%B0
4 (фильм),драма,Илья Хржановский,Россия; Нидерланды,2004,https://ru.wikipedia.org/wiki/4_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
3 ночи в пустыне,драма,Гэбриэль Коуэн; [англ.],США,2014,https://ru.wikipedia.org/wiki/3_%D0%BD%D0%BE%D1%87%D0%B8_%D0%B2_%D0%BF%D1%83%D1%81%D1%82%D1%8B%D0%BD%D0%B5
Амиши (фильм),,Дэвид Белтон; [англ.]; 1,США,2012,https://ru.wikipedia.org/wiki/%D0%90%D0%BC%D0%B8%D1%88%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Вы не знаете Джека,драма; биография,Барри Левинсон,США,,https://ru.wikipedia.org/wiki/%D0%92%D1%8B_%D0%BD%D0%B5_%D0%B7%D0%BD%D0%B0%D0%B5%D1%82%D0%B5_%D0%94%D0%B6%D0%B5%D0%BA%D0%B0
"Вся королевская рать (фильм, 1971)",драма,Александр Гуткович; Наум Ардашников,СССР,1971,"https://ru.wikipedia.org/wiki/%D0%92%D1%81%D1%8F_%D0%BA%D0%BE%D1%80%D0%BE%D0%BB%D0%B5%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D1%80%D0%B0%D1%82%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1971)"
Всё что угодно ради любви,комедия,Майкл Койш; [вд],Канада; США,1993,https://ru.wikipedia.org/wiki/%D0%92%D1%81%D1%91_%D1%87%D1%82%D0%BE_%D1%83%D0%B3%D0%BE%D0%B4%D0%BD%D0%BE_%D1%80%D0%B0%D0%B4%D0%B8_%D0%BB%D1%8E%D0%B1%D0%B2%D0%B8
Время-не-ждёт (телефильм),приключенческий фильм,Виталий Четвериков,СССР,1975,https://ru.wikipedia.org/wiki/%D0%92%D1%80%D0%B5%D0%BC%D1%8F-%D0%BD%D0%B5-%D0%B6%D0%B4%D1%91%D1%82_(%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Всегда в пути твоё лицо,драматический фильм; военный фильм,Ахим Хюбнер,ГДР,1960,https://ru.wikipedia.org/wiki/%D0%92%D1%81%D0%B5%D0%B3%D0%B4%D0%B0_%D0%B2_%D0%BF%D1%83%D1%82%D0%B8_%D1%82%D0%B2%D0%BE%D1%91_%D0%BB%D0%B8%D1%86%D0%BE
"Вчера, сегодня и всегда (фильм, 1969)",комедия,Михаил Григорьев,СССР,1969,"https://ru.wikipedia.org/wiki/%D0%92%D1%87%D0%B5%D1%80%D0%B0,_%D1%81%D0%B5%D0%B3%D0%BE%D0%B4%D0%BD%D1%8F_%D0%B8_%D0%B2%D1%81%D0%B5%D0%B3%D0%B4%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1969)"
Второй шанс (За гранью возможного),фантастика,Пол Стенли,США,1964,https://ru.wikipedia.org/wiki/%D0%92%D1%82%D0%BE%D1%80%D0%BE%D0%B9_%D1%88%D0%B0%D0%BD%D1%81_(%D0%97%D0%B0_%D0%B3%D1%80%D0%B0%D0%BD%D1%8C%D1%8E_%D0%B2%D0%BE%D0%B7%D0%BC%D0%BE%D0%B6%D0%BD%D0%BE%D0%B3%D0%BE)
Выползшее из деревянных вещей,фантастика,Герд Освальд,США,1963,https://ru.wikipedia.org/wiki/%D0%92%D1%8B%D0%BF%D0%BE%D0%BB%D0%B7%D1%88%D0%B5%D0%B5_%D0%B8%D0%B7_%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D1%8F%D0%BD%D0%BD%D1%8B%D1%85_%D0%B2%D0%B5%D1%89%D0%B5%D0%B9
Вызываем огонь на себя (фильм),военно; исторический фильм; драма,Сергей Колосов,СССР,,https://ru.wikipedia.org/wiki/%D0%92%D1%8B%D0%B7%D1%8B%D0%B2%D0%B0%D0%B5%D0%BC_%D0%BE%D0%B3%D0%BE%D0%BD%D1%8C_%D0%BD%D0%B0_%D1%81%D0%B5%D0%B1%D1%8F_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Время для размышлений,драма,Сергей Ашкенази,СССР,1982,https://ru.wikipedia.org/wiki/%D0%92%D1%80%D0%B5%D0%BC%D1%8F_%D0%B4%D0%BB%D1%8F_%D1%80%D0%B0%D0%B7%D0%BC%D1%8B%D1%88%D0%BB%D0%B5%D0%BD%D0%B8%D0%B9
Волшебник Земноморья (мини-сериал),фэнтези; драма; приключенческий фильм,Роберт Либерман,Канада; США,2004,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%BB%D1%88%D0%B5%D0%B1%D0%BD%D0%B8%D0%BA_%D0%97%D0%B5%D0%BC%D0%BD%D0%BE%D0%BC%D0%BE%D1%80%D1%8C%D1%8F_(%D0%BC%D0%B8%D0%BD%D0%B8-%D1%81%D0%B5%D1%80%D0%B8%D0%B0%D0%BB)
